acromion	m	s	0
acromions	m	p	0
acromégalie	f	s	0
acromégalies	f	p	0
acromégalisation	f	s	0
acromégalisations	f	p	0
acron	m	s	0
acrons	m	p	0
acronyme	m	s	0
acronymes	m	p	0
acrophobie	f	s	0
acrophobies	f	p	0
acropole	f	s	0
acropoles	f	p	0
acrostiche	m	s	1
acrostiches	m	p	1
acrotère	m	s	0
acrotères	m	p	0
acrylique	m	s	1
acryliques	m	p	1
actant	m	s	0
actants	m	p	0
acte	m	s	0
actes	m	p	0
acteur	m	s	1
acteurs	m	p	1
actif	m	s	1
actifs	m	p	1
actine	f	s	0
actines	f	p	0
acting	m	s	0
actings	m	p	0
actiniaire	m	s	0
actiniaires	m	p	0
actinide	m	s	0
actinides	m	p	0
actinie	f	s	0
actinies	f	p	0
actinisme	m	s	0
actinismes	m	p	0
actinite	f	s	0
actinites	f	p	0
actinium	m	s	0
actiniums	m	p	0
actinologie	f	s	0
actinologies	f	p	0
actinomycine	f	s	0
actinomycines	f	p	0
actinomycose	f	s	0
actinomycoses	f	p	0
actinomycète	m	s	0
actinomycètes	m	p	0
actinomètre	m	s	0
actinomètres	m	p	0
actinométrie	f	s	0
actinométries	f	p	0
actinopode	m	s	0
actinopodes	m	p	0
actinoscopie	f	s	0
actinoscopies	f	p	0
actinote	f	s	0
actinotes	f	p	0
actinothérapie	f	s	0
actinothérapies	f	p	0
action	f	s	0
actionnalisme	m	s	0
actionnalismes	m	p	0
actionnariat	m	s	0
actionnariats	m	p	0
actionnement	m	s	0
actionnements	m	p	0
actionneur	m	s	0
actionneurs	m	p	0
actions	f	p	0
activant	m	s	0
activants	m	p	0
activateur	m	s	1
activateurs	m	p	1
activation	f	s	0
activations	f	p	0
active	f	s	1
actives	f	p	1
activeur	m	s	0
activeurs	m	p	0
activisme	m	s	0
activismes	m	p	0
activité	f	s	0
activités	f	p	0
actrice	f	s	1
actrices	f	p	1
actu	f	s	0
actualisation	f	s	0
actualisations	f	p	0
actualité	f	s	0
actualités	f	p	0
actuariat	m	s	0
actuariats	m	p	0
actuateur	m	s	0
actuateurs	m	p	0
actuation	f	s	0
actuations	f	p	0
actus	f	p	0
actée	f	s	1
actées	f	p	1
acuité	f	s	0
acuités	f	p	0
aculéate	m	s	0
aculéates	m	p	0
acuponcteur	m	s	0
acuponcteurs	m	p	0
acuponctrice	f	s	0
acuponctrices	f	p	0
acuponcture	f	s	0
acuponctures	f	p	0
acupuncteur	m	s	0
acupuncteurs	m	p	0
acupunctrice	f	s	0
acupunctrices	f	p	0
acupuncture	f	s	0
acupunctures	f	p	0
acyle	m	s	0
acyles	m	p	0
acéphale	m	s	1
acéphales	m	p	1
acétamide	m	s	0
acétamides	m	p	0
acétaminophène	m	s	0
acétaminophènes	m	p	0
acétate	m	s	0
acétates	m	p	0
acétification	f	s	0
acétifications	f	p	0
acétobacter	m	s	0
acétobacters	m	p	0
acétone	f	s	0
acétones	f	p	0
acétonurie	f	s	0
acétonuries	f	p	0
acétonémie	f	s	0
acétonémies	f	p	0
acétylation	f	s	0
acétylations	f	p	0
acétylcholine	f	s	0
acétylcholines	f	p	0
acétyle	m	s	0
acétyles	m	p	0
acétylisation	f	s	0
acétylisations	f	p	0
acétylure	m	s	0
acétylures	m	p	0
acétylène	m	s	0
acétylènes	m	p	0
adage	m	s	0
adages	m	p	0
adagio	m	s	0
adagios	m	p	0
adamien	m	s	1
adamiens	m	p	1
adamisme	m	s	0
adamismes	m	p	0
adamite	f	s	1
adamites	f	p	1
adaptabilité	f	s	0
adaptabilités	f	p	0
adaptateur	m	s	0
adaptateurs	m	p	0
adaptation	f	s	0
adaptations	f	p	0
adaptatrice	f	s	0
adaptatrices	f	p	0
addendum	m	s	0
addendums	m	p	0
addiction	f	s	0
addictions	f	p	0
additif	m	s	1
additifs	m	p	1
addition	f	s	0
additionnement	m	s	0
additionnements	m	p	0
additionneur	m	s	0
additionneurs	m	p	0
additions	f	p	0
adducteur	m	s	1
adducteurs	m	p	1
adduction	f	s	0
adductions	f	p	0
adent	m	s	0
adents	m	p	0
adermine	f	s	0
adermines	f	p	0
adhérence	f	s	0
adhérences	f	p	0
adhérent	m	s	1
adhérente	f	s	1
adhérentes	f	p	1
adhérents	m	p	1
adhésif	m	s	1
adhésifs	m	p	1
adhésion	f	s	0
adhésions	f	p	0
adhésivité	f	s	0
adhésivités	f	p	0
adiabatique	f	s	1
adiabatiques	f	p	1
adiantum	m	s	0
adiantums	m	p	0
adiaphorèse	f	s	0
adiaphorèses	f	p	0
adieu	m	s	0
adieux	m	p	0
adipolyse	f	s	0
adipolyses	f	p	0
adipopexie	f	s	0
adipopexies	f	p	0
adipose	f	s	0
adiposes	f	p	0
adiposité	f	s	0
adiposités	f	p	0
adipsie	f	s	0
adipsies	f	p	0
adjectif	m	s	1
adjectifs	m	p	1
adjectivateur	m	s	0
adjectivateurs	m	p	0
adjectivation	f	s	0
adjectivations	f	p	0
adjoint	m	s	1
adjointe	f	s	1
adjointes	f	p	1
adjoints	m	p	1
adjonction	f	s	0
adjonctions	f	p	0
adjudant	m	s	0
adjudant-chef	m	s	0
adjudants	m	p	0
adjudants-chefs	m	p	0
adjudicateur	m	s	0
adjudicateurs	m	p	0
adjudication	f	s	0
adjudications	f	p	0
adjudicatrice	f	s	0
adjudicatrices	f	p	0
adjuration	f	s	0
adjurations	f	p	0
adjuvance	f	s	0
adjuvances	f	p	0
adjuvant	m	s	1
adjuvants	m	p	1
adjuvat	m	s	0
adjuvats	m	p	0
adminicule	m	s	0
adminicules	m	p	0
administrance	f	s	0
administrances	f	p	0
administrateur	m	s	0
administrateurs	m	p	0
administratif	m	s	1
administratifs	m	p	1
administration	f	s	0
administrations	f	p	0
administrative	f	s	1
administratives	f	p	1
administratrice	f	s	0
administratrices	f	p	0
administré	m	s	1
administrée	f	s	1
administrées	f	p	1
administrés	m	p	1
admirateur	m	s	1
admirateurs	m	p	1
admiration	f	s	0
admirations	f	p	0
admiratrice	f	s	1
admiratrices	f	p	1
admise	f	s	1
admises	f	p	1
admissibilité	f	s	0
admissibilités	f	p	0
admission	f	s	0
admissions	f	p	0
admittance	f	s	0
admittances	f	p	0
admittatur	m	s	0
admittaturs	m	p	0
admixtion	f	s	0
admixtions	f	p	0
admonestation	f	s	0
admonestations	f	p	0
admonition	f	s	0
admonitions	f	p	0
admonétation	f	s	0
admonétations	f	p	0
adobe	m	s	0
adobes	m	p	0
adolescence	f	s	0
adolescences	f	p	0
adolescent	m	s	1
adolescente	f	s	1
adolescentes	f	p	1
adolescents	m	p	1
adoptant	m	s	1
adoptante	f	s	1
adoptantes	f	p	1
adoptants	m	p	1
adoptianisme	m	s	0
adoptianismes	m	p	0
adoptif	m	s	1
adoptifs	m	p	1
adoption	f	s	0
adoptions	f	p	0
adoptive	f	s	1
adoptives	f	p	1
adopté	m	s	1
adoptée	f	s	1
adoptées	f	p	1
adoptés	m	p	1
adorant	m	s	0
adorants	m	p	0
adorateur	m	s	0
adorateurs	m	p	0
adoration	f	s	0
adorations	f	p	0
adoratrice	f	s	0
adoratrices	f	p	0
adornement	m	s	0
adornements	m	p	0
adoré	m	s	1
adorée	f	s	1
adorées	f	p	1
adorés	m	p	1
adossement	m	s	0
adossements	m	p	0
adoubement	m	s	0
adoubements	m	p	0
adoublement	m	s	0
adoublements	m	p	0
adouci	m	s	1
adoucis	m	p	1
adoucissage	m	s	0
adoucissages	m	p	0
adoucissant	m	s	1
adoucissants	m	p	1
adoucissement	m	s	0
adoucissements	m	p	0
adoucisseur	m	s	0
adoucisseurs	m	p	0
adragante	f	s	1
adragantes	f	p	1
adressage	m	s	0
adressages	m	p	0
adresse	f	s	0
adresses	f	p	0
adret	m	s	0
adrets	m	p	0
adrénaline	f	s	0
adrénalines	f	p	0
adrénergique	m	s	1
adrénergiques	m	p	1
adsorbant	m	s	1
adsorbants	m	p	1
adsorbat	m	s	0
adsorbats	m	p	0
adsorption	f	s	0
adsorptions	f	p	0
adstrat	m	s	0
adstrats	m	p	0
adulaire	f	s	1
adulaires	f	p	1
adulateur	m	s	1
adulateurs	m	p	1
adulation	f	s	0
adulations	f	p	0
adulatrice	f	s	1
adulatrices	f	p	1
adultisme	m	s	0
adultismes	m	p	0
adultère	m	s	1
adultères	m	p	1
adultération	f	s	0
adultérations	f	p	0
adustion	f	s	0
adustions	f	p	0
advection	f	s	0
advections	f	p	0
adverbe	m	s	0
adverbes	m	p	0
adverbialisation	f	s	0
adverbialisations	f	p	0
adversité	f	s	0
adversités	f	p	0
advènement	m	s	0
advènements	m	p	0
adynamie	f	s	0
adynamies	f	p	0
adèle	f	s	0
adèles	f	p	0
adénite	f	s	0
adénites	f	p	0
adénocarcinome	m	s	0
adénocarcinomes	m	p	0
adénogramme	m	s	0
adénogrammes	m	p	0
adénomatose	f	s	0
adénomatoses	f	p	0
adénome	m	s	0
adénomes	m	p	0
adénopathie	f	s	0
adénopathies	f	p	0
adénosine	f	s	0
adénosines	f	p	0
adénoïdectomie	f	s	0
adénoïdectomies	f	p	0
adénylate	m	s	0
adénylates	m	p	0
adéquation	f	s	0
adéquations	f	p	0
aegagropile	m	s	0
aegagropiles	m	p	0
aegosome	m	s	0
aegosomes	m	p	0
aeschne	f	s	0
aeschnes	f	p	0
aethusa	f	s	0
aethusas	f	p	0
affabilité	f	s	0
affabilités	f	p	0
affabulateur	m	s	1
affabulateurs	m	p	1
affabulation	f	s	0
affabulations	f	p	0
affabulatrice	f	s	1
affabulatrices	f	p	1
affacturage	m	s	0
affacturages	m	p	0
affactureur	m	s	0
affactureurs	m	p	0
affadissement	m	s	0
affadissements	m	p	0
affaiblissement	m	s	0
affaiblissements	m	p	0
affaiblisseur	m	s	1
affaiblisseurs	m	p	1
affairage	m	s	0
affairages	m	p	0
affaire	f	s	0
affairement	m	s	0
affairements	m	p	0
affaires	f	p	0
affairisme	m	s	0
affairismes	m	p	0
affairé	m	s	1
affairée	f	s	1
affairées	f	p	1
affairés	m	p	1
affaissement	m	s	0
affaissements	m	p	0
affaitage	m	s	0
affaitages	m	p	0
affaitement	m	s	0
affaitements	m	p	0
affaiteur	m	s	0
affaiteurs	m	p	0
affalage	m	s	0
affalages	m	p	0
affale	f	s	0
affalement	m	s	0
affalements	m	p	0
affales	f	p	0
affamation	f	s	0
affamations	f	p	0
affamement	m	s	0
affamements	m	p	0
affameur	m	s	0
affameurs	m	p	0
affameuse	f	s	0
affameuses	f	p	0
affamé	m	s	1
affamée	f	s	1
affamées	f	p	1
affamés	m	p	1
affect	m	s	0
affectation	f	s	0
affectations	f	p	0
affectif	m	s	1
affectifs	m	p	1
affection	f	s	0
affections	f	p	0
affective	f	s	1
affectives	f	p	1
affectivité	f	s	0
affectivités	f	p	0
affects	m	p	0
affecté	m	s	1
affectée	f	s	1
affectées	f	p	1
affectés	m	p	1
affenage	m	s	0
affenages	m	p	0
affermage	m	s	0
affermages	m	p	0
affermissement	m	s	0
affermissements	m	p	0
affichage	m	s	0
affichages	m	p	0
affiche	f	s	0
affiches	f	p	0
affichette	f	s	0
affichettes	f	p	0
afficheur	m	s	0
afficheurs	m	p	0
afficheuse	f	s	0
